Campaign,ID,Architecture,1%,5%,25%,50%,100% / Final,Notes
reference_half,A,VLM3R pre-LLM Cross-attn,37.40768764455541,45.94178531995511,52.984743394347525,54.26849201896928,,Trained to 50% by design
controlled,B,"pre-projector Add, dec12",38.43103606451429,47.122721358670255,53.74788328986922,57.140578518339446,57.84309940577166,
controlled,C,"L0 Cross-attn, dec12",38.050857262224994,48.02504901482148,52.50529470677863,57.865729554151876,60.60944047928047,
controlled,D,"L0 Add, dec12",38.254599651208245,47.25980014423642,52.62795815954956,57.11109512041814,61.17079824298335,
controlled,E,"L0/1/2 Add, dec12x3, site-specific",37.80660846895835,48.44939980795283,52.81794441468583,59.26011773081029,61.008630184756484,
reference_half,F,"L0/1/2 Add, dec6/9/12",37.99181552574135,48.14477244390045,53.646881885566835,59.02954749361977,,Trained to 50% by design
reference_half,G,"L0/1/2 Cross-attn, dec6/9/12",36.889447256430564,46.43114593273584,53.05473853710594,58.10279210456122,,Trained to 50% by design
controlled,H,"L0/1/2 Cross-attn, dec12x3",37.868906249514005,45.944046414614135,51.6064161305527,57.14165045993027,59.87772232326709,
reproduction,Reproduction_2,Independent trained-checkpoint diagnostic,,,,,59.26211025694245,Independent diagnostic; no milestone checkpoints
